class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
28749,10234,629,1.00m Jumper II.2b,5,1653,Duran Duran Z,Adele Dewar,Barbara H. Center,,
28652,10235,630,1.10m Jumper II.1,1,1324,Color Coded,Lanie Nash,Karsyn Edmondson,,
28652,10235,630,1.10m Jumper II.1,2,2455,Ronaldo C,Juan Andres Larrazabal,Lance Haywood,,
28652,10235,630,1.10m Jumper II.1,3,1724,Billy Banbury,Lauren Schweppe,Amy Nelson,,
28652,10235,630,1.10m Jumper II.1,4,1420,Cierra,Liza Guettler,Joyce C. Green,,
28652,10235,630,1.10m Jumper II.1,5,2351,Otto Pilot,Jeannie M. Savegnago,Jennifer Giovino,,
28652,10235,630,1.10m Jumper II.1,6,2345,Funky De L'abbaye,Bryce P. Richardson,Laura Kaiser,,
28652,10235,630,1.10m Jumper II.1,7,1425,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo LLC,,
28652,10235,630,1.10m Jumper II.1,8,1826,Emi Initia,Lia Screnci,Unknown Person,,
28652,10235,630,1.10m Jumper II.1,,1421,Liverpool 56,Liza Guettler,Liza Guettler,,
28652,10235,630,1.10m Jumper II.1,,1651,Close To Me 5,Kyle Dewar,Mandy L. Miller,,
28652,10235,630,1.10m Jumper II.1,,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,,
28652,10235,630,1.10m Jumper II.1,,1955,Diva Du Cache Pot Z,Jasmyne Tanguay,Katherine F. Dewar,,
28652,10235,630,1.10m Jumper II.1,,2010,Baron De Revel,Christoph Schroeder,Eric Lamon,,
28652,10235,630,1.10m Jumper II.1,,2037,Fernhill Touch Of Grandeur,Kendall Stephens,Kendall Stephens,,
28652,10235,630,1.10m Jumper II.1,,2365,Qiana,Katie Rosenfels,Katie Rosenfels,,
28653,10235,631,1.10m Jumper II.2d,1,1738,Dublin,Amelia Tredinnick,Carly Tredinnick,,
28653,10235,631,1.10m Jumper II.2d,2,2002,Lolita Z,Addison Reed,Ameera Chin,,
28653,10235,631,1.10m Jumper II.2d,3,1724,Billy Banbury,Lauren Schweppe,Amy Nelson,,
28653,10235,631,1.10m Jumper II.2d,4,1519,Mtm Clarcona,Anna Mead,Anna Mead,,
28653,10235,631,1.10m Jumper II.2d,5,1651,Close To Me 5,Kyle Dewar,Mandy L. Miller,,
28653,10235,631,1.10m Jumper II.2d,6,1683,Bakham Du Very Z,Blythe Novick,Novick Sporthorses LLC,,
28653,10235,631,1.10m Jumper II.2d,7,2365,Qiana,Katie Rosenfels,Katie Rosenfels,,
28653,10235,631,1.10m Jumper II.2d,8,1908,Gosset Rose,Evana Somareddy,Plain Bay Farm,,
28653,10235,631,1.10m Jumper II.2d,,1248,Ciemusic Z,Kathryn Camunas,Kathryn Camunas,,
28653,10235,631,1.10m Jumper II.2d,,1699,Catago Sh,Riley Delbecq,"Todd Minikus, LTD",,
28653,10235,631,1.10m Jumper II.2d,,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,,
28653,10235,631,1.10m Jumper II.2d,,1859,Hh N-Joy,Natasha Stewart,Double H Farm,,
28653,10235,631,1.10m Jumper II.2d,,2001,Leporsche Th,Addison Reed,Ella Saidi,,
28653,10235,631,1.10m Jumper II.2d,,2010,Baron De Revel,Christoph Schroeder,Eric Lamon,,
28653,10235,631,1.10m Jumper II.2d,,2357,Crazy,Ashley Greene,Ashley Greene,,
28653,10235,631,1.10m Jumper II.2d,,2455,Ronaldo C,Juan Andres Larrazabal,Lance Haywood,,
28654,10235,632,1.10m Jumper II.2b,1,2002,Lolita Z,Addison Reed,Ameera Chin,,
28654,10235,632,1.10m Jumper II.2b,2,2001,Leporsche Th,Addison Reed,Ella Saidi,,
28654,10235,632,1.10m Jumper II.2b,3,1282,Quesera K Van’t Kattenheye,Amanda Flint,Sabrina Lefebvre,,
28654,10235,632,1.10m Jumper II.2b,4,2037,Fernhill Touch Of Grandeur,Kendall Stephens,Kendall Stephens,,
28654,10235,632,1.10m Jumper II.2b,5,2556,Der Mond,Porter Tobin,Porter Tobin,,
28654,10235,632,1.10m Jumper II.2b,6,2351,Otto Pilot,Emily Giovino,Jennifer Giovino,,
28654,10235,632,1.10m Jumper II.2b,7,1683,Bakham Du Very Z,Blythe Novick,Novick Sporthorses LLC,,
28655,10214,633,1.15m Jumper II.1,1,2023,Joaquin Daloubet,Cristobal Castro,Cristobal Castro,,
28655,10214,633,1.15m Jumper II.1,2,1429,Quallie,Lanie Nash,Tanner Hedrick,,
28655,10214,633,1.15m Jumper II.1,3,1519,Mtm Clarcona,Bowers A. Cone,Anna Mead,,
28655,10214,633,1.15m Jumper II.1,4,1241,Balou Blue Z,Brittni A. Raflowitz,Esi Show Jumpers,,
28655,10214,633,1.15m Jumper II.1,5,1485,Roncevert,Lanie Nash,Lila Isaac,,
28655,10214,633,1.15m Jumper II.1,6,1917,Smooth Sailing,Bryce P. Richardson,Claire Arnold,,
28655,10214,633,1.15m Jumper II.1,7,1745,Oa Uno Mas Cerveza,Madison Rose,Madison Rose,,
28655,10214,633,1.15m Jumper II.1,8,2015,Zeus,Riley Delbecq,Nicole Danelyan,,
28655,10214,633,1.15m Jumper II.1,,1145,Cecile S,Bowers A. Cone,Alicia Taylor,,
28655,10214,633,1.15m Jumper II.1,,1326,The Getaway Car,Lanie Nash,Anna Scott Ault,,
28655,10214,633,1.15m Jumper II.1,,1699,Catago Sh,Riley Delbecq,"Todd Minikus, LTD",,
28655,10214,633,1.15m Jumper II.1,,1758,Gof Perle D'amour,Jodie Camberg,"Golden Oaks Farm, LLC",,
28656,10214,634,1.15m Jumper II.2d,1,2015,Zeus,Riley Delbecq,Nicole Danelyan,,
28656,10214,634,1.15m Jumper II.2d,2,1418,Vdl Friedakilly R Z,Ana Sofia Rodriguez,Rodriguez Equestrian,,
28656,10214,634,1.15m Jumper II.2d,3,1958,Hairo,Ana Elena Armas,Skyler Fields,,
28656,10214,634,1.15m Jumper II.2d,4,1963,Chatdenio Bh Z,Lawson Whitaker,Lawson Whitaker,,
28656,10214,634,1.15m Jumper II.2d,5,1241,Balou Blue Z,Brittni A. Raflowitz,Esi Show Jumpers,,
28656,10214,634,1.15m Jumper II.2d,6,1425,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo LLC,,
28656,10214,634,1.15m Jumper II.2d,7,1754,Hollywood Van Het Kapelhof Z,Claire F. Cassidy,"Bully Lane, LLC",,
28656,10214,634,1.15m Jumper II.2d,8,1699,Catago Sh,Riley Delbecq,"Todd Minikus, LTD",,
28656,10214,634,1.15m Jumper II.2d,,1745,Oa Uno Mas Cerveza,Madison Rose,Madison Rose,,
28656,10214,634,1.15m Jumper II.2d,,1857,Chill Z,Juan A. Rodriguez Silva,Leyla Carmona,,
28656,10214,634,1.15m Jumper II.2d,,2037,Fernhill Touch Of Grandeur,Kendall Stephens,Kendall Stephens,,
28750,10214,635,1.15m Jumper II.2b,1,1745,Oa Uno Mas Cerveza,Madison Rose,Madison Rose,,
28750,10214,635,1.15m Jumper II.2b,2,1744,Diatoon Blue Ps,Madison Rose,Madison Rose,,
28750,10214,635,1.15m Jumper II.2b,3,1857,Chill Z,Leyla Carmona,Leyla Carmona,,
28750,10214,635,1.15m Jumper II.2b,4,1948,Madison Square Sb,Francisco Vaca,Frei Equestrian LLC,,
28619,10321,636,1.20m Jumper II.1,1,1020,Santa Rosa Diva,Priscilla Broger,Priscilla Broger,,
28619,10321,636,1.20m Jumper II.1,1,2315,Mtm Caden,Ellham Memari,Davenport Farms,,
28619,10321,636,1.20m Jumper II.1,2,2334,Mtm Wingman,Ellham Memari,Mtm Farm,,
28619,10321,636,1.20m Jumper II.1,2,1939,Harry D'ete RW,Christoph Schroeder,Amanda Carroll,,
28619,10321,636,1.20m Jumper II.1,3,1739,Lucie V/H Vijverbos Z,Amelia Tredinnick,Carly Tredinnick,,
28619,10321,636,1.20m Jumper II.1,3,1697,Nour Alain,Ryan Haselden,Ryan Haselden,,
28619,10321,636,1.20m Jumper II.1,4,2043,Edward Z,Ciaran Flynn,Mclain Ward,,
28619,10321,636,1.20m Jumper II.1,4,1688,Mar Simon,Michelle Lin,Michelle Lin,,
28619,10321,636,1.20m Jumper II.1,5,1694,Hector Du Gue,Declan Egan,Ryan Haselden,,
28619,10321,636,1.20m Jumper II.1,5,1002,Balou's Paul Ps,Diego Gaspar De Goes,Wellington Equestrian Center Inc,,
28619,10321,636,1.20m Jumper II.1,6,1019,Icare Chavannais,Priscilla Broger,Priscilla Broger,,
28619,10321,636,1.20m Jumper II.1,6,1988,Uphoria Di June,Sarah Gordon,"Golden Farm, LLC",,
28619,10321,636,1.20m Jumper II.1,7,1325,Scooby Doo,Lanie Nash,Karsyn Edmondson,,
28619,10321,636,1.20m Jumper II.1,7,1701,Chili Con Cornet,Riley Delbecq,Simon Nizri,,
28619,10321,636,1.20m Jumper II.1,8,2339,KS Emperor,Maleah Lang Mcmahon,Maleah Lang Mcmahon,,
28619,10321,636,1.20m Jumper II.1,8,1907,Wild Kat,Jamie Alnwick,Scott Keach,,
28619,10321,636,1.20m Jumper II.1,9,2033,King Coconut Gvv,Angela Gais,Shaylie Cooke,,
28619,10321,636,1.20m Jumper II.1,9,2372,F Miss Gouvernante Vdl Z,Anthony Sauriol,Mi Casa Stable Holdings Inc.,,
28619,10321,636,1.20m Jumper II.1,,1327,Online,Clark Montgomery,Clark Montgomery,,
28619,10321,636,1.20m Jumper II.1,,1407,Casamigos,Diego Bedoya,Nrg Farm LLC,,
28619,10321,636,1.20m Jumper II.1,,1408,Concara Ps,Diego Bedoya,Nrg Farm LLC,,
28619,10321,636,1.20m Jumper II.1,,1409,Condialuba Ps,Diego Bedoya,Nrg Farm LLC,,
28619,10321,636,1.20m Jumper II.1,,1412,Quala Vd Rollebeek,Diego Bedoya,Nrg Farm LLC,,
28619,10321,636,1.20m Jumper II.1,,1477,Bp Exchange,Lesley Grant-Law,Leslie Law,,
28619,10321,636,1.20m Jumper II.1,,1478,Bp First Of Many,Lesley Grant-Law,Leslie Law,,
28619,10321,636,1.20m Jumper II.1,,1479,Jajadiva,Lesley Grant-Law,Lesley Grant-Law,,
28619,10321,636,1.20m Jumper II.1,,1652,Dolce Arroganza Rouge Bois,Adele Dewar,Adele Dewar,,
28619,10321,636,1.20m Jumper II.1,,1659,London Star,Kyle Dewar,Barbara H. Center,,
28619,10321,636,1.20m Jumper II.1,,1660,Luau Cove Csf,Kyle Dewar,Lori Lynn Davis,,
28619,10321,636,1.20m Jumper II.1,,1661,Major,Kyle Dewar,Mandy L. Miller,,
28619,10321,636,1.20m Jumper II.1,,1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,,
28619,10321,636,1.20m Jumper II.1,,1695,I Jump D'authuit,Declan Egan,Laura Connolly,,
28619,10321,636,1.20m Jumper II.1,,1712,Lodewijk 39,Elli Yeager,39 Fields LLC,,
28619,10321,636,1.20m Jumper II.1,,1751,Cosiol Vd Padenborre Z,Lisa Mackil,Lisa Mackil,,
28619,10321,636,1.20m Jumper II.1,,1853,Indiana De Riverland,Declan Egan,Izabella Mcnerney,,
28619,10321,636,1.20m Jumper II.1,,1902,Born To Be Wild,Jamie Alnwick,Seumas A. Marwood,,
28619,10321,636,1.20m Jumper II.1,,1904,Copa Cabana Ohf,Jennifer Strickland,Jennifer Strickland,,
28619,10321,636,1.20m Jumper II.1,,1913,Boleybawn Rolo,Bryce P. Richardson,Molly A. Kenney,,
28619,10321,636,1.20m Jumper II.1,,1928,Northern Exposure Wss,Allison Beck,Allison Beck,,
28619,10321,636,1.20m Jumper II.1,,1949,Rihanna Dwerse Hagen,Francisco Vaca,Francisco Vaca,,
28619,10321,636,1.20m Jumper II.1,,1950,Zoronto,Francisco Vaca,"Texas De Limache, LLC",,
28619,10321,636,1.20m Jumper II.1,,1961,Fernhill Athletico Z,Lauren E. Hough,Julie B. Richards,,
28619,10321,636,1.20m Jumper II.1,,1993,Copperfield Ghv Z,Molly Frei,Frei Equestrian LLC,,
28619,10321,636,1.20m Jumper II.1,,1994,Marjolita,Molly Frei,Frei Equestrian LLC,,
28619,10321,636,1.20m Jumper II.1,,2009,Lillet Wildberry,Karl Beyer,Ashley Hartman,,
28619,10321,636,1.20m Jumper II.1,,2020,Kannador,Clark Montgomery,Unknown Person,,
28619,10321,636,1.20m Jumper II.1,,2024,Revelry,Sharon S. Maloney,Sharon S. Maloney,,
28619,10321,636,1.20m Jumper II.1,,2027,Lagegonda Fz,Clark Montgomery,Capital Equine LLC,,
28619,10321,636,1.20m Jumper II.1,,2029,Cobalto,Anne L. Bingler,Anne L. Bingler,,
28619,10321,636,1.20m Jumper II.1,,2045,Don Daddy Z,Mari Gromkowski,Laura G. Fitzgerald,,
28619,10321,636,1.20m Jumper II.1,,2054,Milky Bar Os,Jaime Gibson,Christy Parsons,,
28619,10321,636,1.20m Jumper II.1,,2057,Bucephalus,Bobby Malmrose,Bobby Malmrose,,
28619,10321,636,1.20m Jumper II.1,,2060,Miss Dutton,Bobby Malmrose,Bobby Malmrose,,
28619,10321,636,1.20m Jumper II.1,,2193,Brin D'or De Haute Melen Z,Sharn L. Wordley,Della Wordley,,
28619,10321,636,1.20m Jumper II.1,,2194,Conto Blanco 4,Sharn L. Wordley,Della Wordley,,
28619,10321,636,1.20m Jumper II.1,,2195,Hagelin,Sharn L. Wordley,Della Wordley,,
28619,10321,636,1.20m Jumper II.1,,2196,Kan So,Diego Farje,Timothy I. Hooker,,
28619,10321,636,1.20m Jumper II.1,,2198,Nicolaars,Peyton Hunt,Mark Domitrovich,,
28619,10321,636,1.20m Jumper II.1,,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Fletcher Farms,,
28619,10321,636,1.20m Jumper II.1,,2299,Cornet Special,Aurora R. Rangel De Alba,Aurora R. Rangel De Alba,,
28619,10321,636,1.20m Jumper II.1,,2300,Jumper,Aurora R. Rangel De Alba,"Integrated Services Florida, LLC",,
28619,10321,636,1.20m Jumper II.1,,2352,J. Charley,Joslyn Young,Joslyn Young,,
28619,10321,636,1.20m Jumper II.1,,2354,Kleopatra Hero Z,Luke Sassi,Ashley Govan,,
28619,10321,636,1.20m Jumper II.1,,2373,Rozsa,Anthony Sauriol,Mi Casa Stable Holdings Inc.,,
28620,10321,637,1.20m Jumper II.2d,1,1946,Kashmir,Todd D. Minikus,Casey M. Millis,,
28620,10321,637,1.20m Jumper II.2d,2,1694,Hector Du Gue,Ryan Haselden,Ryan Haselden,,
28620,10321,637,1.20m Jumper II.2d,3,1680,Vdl Jamorkus,Ana Sofia Rodriguez,Rodriguez Equestrian,,
28620,10321,637,1.20m Jumper II.2d,4,1670,Ike,Lenir Perez,Emco Holding LLC,,
28620,10321,637,1.20m Jumper II.2d,5,1660,Luau Cove Csf,Kyle Dewar,Lori Lynn Davis,,
28620,10321,637,1.20m Jumper II.2d,6,2029,Cobalto,Anne L. Bingler,Anne L. Bingler,,
28620,10321,637,1.20m Jumper II.2d,7,1253,I'M Du Vinia,Lizabeth Perez-Pascual,Lizabeth Perez-Pascual,,
28620,10321,637,1.20m Jumper II.2d,8,1512,Jamaica,Dominique H. Damico,"Amberfax Farm, Inc",,
28620,10321,637,1.20m Jumper II.2d,9,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Fletcher Farms,,
28620,10321,637,1.20m Jumper II.2d,,1252,Corleone,Lizabeth Perez-Pascual,Lizabeth Perez-Pascual,,
28620,10321,637,1.20m Jumper II.2d,,1546,Tupac Van De Vrombautshoeve Z,Paige Jones,"Amberfax Farm, Inc",,
28620,10321,637,1.20m Jumper II.2d,,1647,Dionte Van’t Merelsnest Z,Juan A. Rodriguez Silva,Emco Holding LLC,,
28620,10321,637,1.20m Jumper II.2d,,1674,Koblenz,Ana Cristina Rodriguez,Sophie Heron,,
28620,10321,637,1.20m Jumper II.2d,,1678,Seattle,Ana Sofia Perez,Emco Holding LLC,,
28620,10321,637,1.20m Jumper II.2d,,1682,Allegra Van Het Eikenhof Z,Aria Collins,Michelle Lin,,
28620,10321,637,1.20m Jumper II.2d,,1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,,
28620,10321,637,1.20m Jumper II.2d,,1750,Marley Vdl,Kyndal Mantuano,John Giza,,
28620,10321,637,1.20m Jumper II.2d,,1902,Born To Be Wild,Jamie Alnwick,Seumas A. Marwood,,
28620,10321,637,1.20m Jumper II.2d,,1904,Copa Cabana Ohf,Jennifer Strickland,Jennifer Strickland,,
28620,10321,637,1.20m Jumper II.2d,,1910,Mtm Cascadela,Evana Somareddy,Unknown Person,,
28620,10321,637,1.20m Jumper II.2d,,2067,Oberon R-E,Isabella Freeburg,"Redwood Farm, LLC",,
28620,10321,637,1.20m Jumper II.2d,,2352,J. Charley,Joslyn Young,Joslyn Young,,
28620,10321,637,1.20m Jumper II.2d,,2364,Wild Thing,John Michael Durr,Worth The Wait LLC,,
28620,10321,637,1.20m Jumper II.2d,,2464,C’est La Vie,Lillian Mowrey,Lillian Mowrey,,
28621,10321,638,1.20m Jumper II.2b,1,2196,Kan So,Diego Farje,Timothy I. Hooker,,
28621,10321,638,1.20m Jumper II.2b,2,1215,Temptation V/H Haringvliet Z,Jodie Camberg,Jc Equestrian LLC,,
28621,10321,638,1.20m Jumper II.2b,3,1647,Dionte Van’t Merelsnest Z,Juan A. Rodriguez Silva,Emco Holding LLC,,
28621,10321,638,1.20m Jumper II.2b,4,2197,King William,Sharn L. Wordley,Della Wordley,,
28621,10321,638,1.20m Jumper II.2b,5,2199,Tobias Van Kreyel Mc,Lauren Balcomb,Jessica Steindorff,,
28621,10321,638,1.20m Jumper II.2b,6,1902,Born To Be Wild,Jamie Alnwick,Seumas A. Marwood,,
28621,10321,638,1.20m Jumper II.2b,7,2364,Wild Thing,John Michael Durr,Worth The Wait LLC,,
28621,10321,638,1.20m Jumper II.2b,8,2023,Joaquin Daloubet,Cristobal Castro,Cristobal Castro,,
28621,10321,638,1.20m Jumper II.2b,,2009,Lillet Wildberry,Karl Beyer,Ashley Hartman,,
28621,10321,638,1.20m Jumper II.2b,,2198,Nicolaars,Peyton Hunt,Mark Domitrovich,,
28621,10321,638,1.20m Jumper II.2b,,2465,Tranquilo Van 'T Valissenhof,Diego Farje,Sharn L. Wordley,,
28333,10312,639,1.25m Jumper II.1,1,2376,O.hannah Tp,Juan Carlos Arriaga Radilla,Carlos Aguirre,,
28333,10312,639,1.25m Jumper II.1,2,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,,
28333,10312,639,1.25m Jumper II.1,3,1689,Nastelina Van De Witte Driesendijk,Jessica Collins,Michelle Lin,,
28333,10312,639,1.25m Jumper II.1,4,2004,Apollo,Ashley Romano,Ashley Romano,,
28333,10312,639,1.25m Jumper II.1,5,1831,Umtiti Van De Barlebuis,Lia Screnci,Giavona Pirolo,,
28333,10312,639,1.25m Jumper II.1,6,1940,In Between RW,Amanda Carroll,Amanda Carroll,,
28333,10312,639,1.25m Jumper II.1,7,1426,Orchidee Vd Bisschop,Devin A. Seek,Stefano Baruzzo LLC,,
28333,10312,639,1.25m Jumper II.1,8,2367,Khadiri,Jake Evans,Summer Smith,,
28333,10312,639,1.25m Jumper II.1,9,1727,Perla Pas De Calais,Stephanie Frey,Stephanie Frey,,
28333,10312,639,1.25m Jumper II.1,,1481,Limerick,Taylor Manning,Taylor Manning,,
28333,10312,639,1.25m Jumper II.1,,1687,Ivabella Zimequest,Jessica Collins,Novick Sporthorses LLC,,
28333,10312,639,1.25m Jumper II.1,,1746,K-Carla,Tricia J. O'Connor,Michael Kirby,,
28333,10312,639,1.25m Jumper II.1,,1962,Isla De Coco,Lauren E. Hough,Anne W. Eldridge,,
28333,10312,639,1.25m Jumper II.1,,2044,El Paqui 111 Z,Johan Kachelhoffer,Johan Kachelhoffer,,
28333,10312,639,1.25m Jumper II.1,,2346,Celtic Lady M2s,Cady Klimas,Jumpers Landing LLC,,
28333,10312,639,1.25m Jumper II.1,,2353,Undertaker 7,Lexi Scovil,Lexi Scovil,,
28333,10312,639,1.25m Jumper II.1,,2464,C’est La Vie,Lillian Mowrey,Lillian Mowrey,,
28334,10312,640,1.25m Jumper II.2d,,1477,Bp Exchange,Lesley Grant-Law,Leslie Law,,
28334,10312,640,1.25m Jumper II.2d,,1478,Bp First Of Many,Lesley Grant-Law,Leslie Law,,
28334,10312,640,1.25m Jumper II.2d,,1479,Jajadiva,Lesley Grant-Law,Lesley Grant-Law,,
28334,10312,640,1.25m Jumper II.2d,,1536,Los Algarrobos Utah,Patricio Muente,Patricio Muente,,
28334,10312,640,1.25m Jumper II.2d,,1661,Major,Kyle Dewar,Mandy L. Miller,,
28334,10312,640,1.25m Jumper II.2d,,1701,Chili Con Cornet,Riley Delbecq,Simon Nizri,,
28334,10312,640,1.25m Jumper II.2d,,1712,Lodewijk 39,Elli Yeager,39 Fields LLC,,
28334,10312,640,1.25m Jumper II.2d,,1961,Fernhill Athletico Z,Lauren E. Hough,Julie B. Richards,,
28334,10312,640,1.25m Jumper II.2d,,1994,Marjolita,Molly Frei,Frei Equestrian LLC,,
28334,10312,640,1.25m Jumper II.2d,,2008,Kristoff O.a.,James Gentleman,Darragh Kerins,,
28334,10312,640,1.25m Jumper II.2d,,2022,Global Melody,Amy Evans,Amy Evans,,
28334,10312,640,1.25m Jumper II.2d,,2346,Celtic Lady M2s,Cady Klimas,Jumpers Landing LLC,,
28334,10312,640,1.25m Jumper II.2d,,2372,F Miss Gouvernante Vdl Z,Anthony Sauriol,Mi Casa Stable Holdings Inc.,,
28334,10312,640,1.25m Jumper II.2d,,2373,Rozsa,Anthony Sauriol,Mi Casa Stable Holdings Inc.,,
28335,10312,641,1.25m Jumper II.2b,1,2054,Milky Bar Os,Jaime Gibson,Christy Parsons,,
28335,10312,641,1.25m Jumper II.2b,2,1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,,
28335,10312,641,1.25m Jumper II.2b,3,1961,Fernhill Athletico Z,Lauren E. Hough,Julie B. Richards,,
28335,10312,641,1.25m Jumper II.2b,4,2353,Undertaker 7,Lexi Scovil,Lexi Scovil,,
28335,10312,641,1.25m Jumper II.2b,5,2346,Celtic Lady M2s,Cady Klimas,Jumpers Landing LLC,,
28335,10312,641,1.25m Jumper II.2b,,1682,Allegra Van Het Eikenhof Z,Aria Collins,Michelle Lin,,
28335,10312,641,1.25m Jumper II.2b,,1687,Ivabella Zimequest,Jessica Collins,Novick Sporthorses LLC,,
28335,10312,641,1.25m Jumper II.2b,,2008,Kristoff O.a.,James Gentleman,Darragh Kerins,,
28622,10315,642,1.30m Jumper II.1,1,1953,Mtm Pablo,Tracy Fenney,Davenport Farms,,
28622,10315,642,1.30m Jumper II.1,2,1017,Défi De La Roque,Juan Benítez,Camille Pacheco,,
28622,10315,642,1.30m Jumper II.1,3,2315,Mtm Caden,Ellham Memari,Davenport Farms,,
28622,10315,642,1.30m Jumper II.1,4,2362,Constantin De Hus,John Michael Durr,Worth The Wait LLC,,
28622,10315,642,1.30m Jumper II.1,5,1916,Hhf Levison's Pride,Bryce P. Richardson,Quintessence International,,
28622,10315,642,1.30m Jumper II.1,6,1703,Gardenia,Riley Delbecq,Stephen Macken,,
28622,10315,642,1.30m Jumper II.1,7,1719,Harthill Magician,Justine L. Dutton Barnard,Justine L. Dutton Barnard,,
28622,10315,642,1.30m Jumper II.1,8,1938,Conthargos,Amanda Carroll,Ac Squared Sporthorses LLC,,
28622,10315,642,1.30m Jumper II.1,9,1906,Vinardi Vh Haringvliet Z,Scott Keach,Scott Keach,,
28622,10315,642,1.30m Jumper II.1,,1213,Gof Casamigos,Megan Wexler,"Golden Oaks Farm, LLC",,
28622,10315,642,1.30m Jumper II.1,,1321,The Golden Road,Camille Maynard,Anne C. Hormel,,
28622,10315,642,1.30m Jumper II.1,,1430,Karlotta Cl,Manuel G. Torres,Alejandra Ortiz Orozco,,
28622,10315,642,1.30m Jumper II.1,,1526,Copyright Cicero Z,Sidney L. Porter,"Slp Show Jumpers, LLC",,
28622,10315,642,1.30m Jumper II.1,,1655,Helia Ffh,Kyle Dewar,Willshire Farm LTD,,
28622,10315,642,1.30m Jumper II.1,,1693,Goliath De L’ Eldorado,Declan Egan,Bailey P. Tims-Ferira,,
28622,10315,642,1.30m Jumper II.1,,1696,Kinmar Candy Hero,Declan Egan,Oakland Ventures LLC,,
28622,10315,642,1.30m Jumper II.1,,1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,,
28622,10315,642,1.30m Jumper II.1,,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,,
28622,10315,642,1.30m Jumper II.1,,1736,Garrincha Van De Kalevallei,Maleah Lang Mcmahon,Linda Bammann,,
28622,10315,642,1.30m Jumper II.1,,1750,Marley Vdl,Kyndal Mantuano,John Giza,,
28622,10315,642,1.30m Jumper II.1,,1829,Puccini Van Orti,Lia Screnci,Lia Screnci,,
28622,10315,642,1.30m Jumper II.1,,1837,Os Quincy,Rebecca Warth,"Warbuck Investments, LLC",,
28622,10315,642,1.30m Jumper II.1,,1903,Caleo S,Scott Keach,Mary Pahides,,
28622,10315,642,1.30m Jumper II.1,,1905,Havane De Cuvry,Scott Keach,Molly Duda,,
28622,10315,642,1.30m Jumper II.1,,1910,Mtm Cascadela,Evana Somareddy,Unknown Person,,
28622,10315,642,1.30m Jumper II.1,,1952,Mtm Neato,Tracy Fenney,Unknown Person,,
28622,10315,642,1.30m Jumper II.1,,1960,Candeux,Lauren E. Hough,"Abs Candeux, LLC",,
28622,10315,642,1.30m Jumper II.1,,1969,Flora De Riverland,Dani Gascoigne,York Story,,
28622,10315,642,1.30m Jumper II.1,,1995,Camino Imperio Egípcio,Ali Arbabi,Sigma Stables LLC,,
28622,10315,642,1.30m Jumper II.1,,1996,Thor Jr,Ali Arbabi,Kalany Stables,,
28622,10315,642,1.30m Jumper II.1,,2331,Mtm Tabitha,Tracy Fenney,Mtm Farm,,
28622,10315,642,1.30m Jumper II.1,,2334,Mtm Wingman,Ellham Memari,Mtm Farm,,
28622,10315,642,1.30m Jumper II.1,,2356,Bull Run's Risen,Annie Goldstein,Della Wordley,,
28623,10315,643,1.30m Jumper II.2d,1,2461,Charly-Ann,Amanda Gomez,Rising Star Equestrian,,
28623,10315,643,1.30m Jumper II.2d,2,2315,Mtm Caden,Ellham Memari,Davenport Farms,,
28623,10315,643,1.30m Jumper II.2d,3,2462,Hollywood V,Amanda Gomez,Rising Star Equestrian,,
28623,10315,643,1.30m Jumper II.2d,4,1417,Vajra Du Blay,Emilio Medina,Emilio Medina,,
28623,10315,643,1.30m Jumper II.2d,5,2020,Kannador,Clark Montgomery,Unknown Person,,
28623,10315,643,1.30m Jumper II.2d,6,2204,5o1 Stakkatol's Dream,Jacob Fletcher,Fletcher Farms,,
28623,10315,643,1.30m Jumper II.2d,7,1526,Copyright Cicero Z,Sidney L. Porter,"Slp Show Jumpers, LLC",,
28623,10315,643,1.30m Jumper II.2d,8,1413,Balou De Revel,Emilio Medina,Emilio Medina,,
28623,10315,643,1.30m Jumper II.2d,9,1244,Kankan,Brittni A. Raflowitz,Esi Show Jumpers,,
28623,10315,643,1.30m Jumper II.2d,,1002,Balou's Paul Ps,Diego Gaspar De Goes,Wellington Equestrian Center Inc,,
28623,10315,643,1.30m Jumper II.2d,,1687,Ivabella Zimequest,Jessica Collins,Novick Sporthorses LLC,,
28623,10315,643,1.30m Jumper II.2d,,1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,,
28623,10315,643,1.30m Jumper II.2d,,1856,Zara Www,Kate Phillips,Kate Phillips,,
28623,10315,643,1.30m Jumper II.2d,,1907,Wild Kat,Jamie Alnwick,Scott Keach,,
